region_name,country_code,province_name,city_name,region_city_rank,TA_main_page
SOUTHERN EUROPE,IT,LAZIO,ROME,1,https://www.tripadvisor.com/Tourism-g187791-Rome_Lazio-Vacations.html
SOUTHERN EUROPE,SP,CATALONIA,BARCELONA,2,https://www.tripadvisor.com/Tourism-g187497-Barcelona_Catalonia-Vacations.html
SOUTHERN EUROPE,TU,ISTANBUL,ISTANBUL,3,https://www.tripadvisor.com/Tourism-g293974-Istanbul-Vacations.html
SOUTHERN EUROPE,IT,LOMBARDIA,MILAN,4,https://www.tripadvisor.com/Tourism-g187849-Milan_Lombardy-Vacations.html
SOUTHERN EUROPE,IT,TOSCANA (TUSCANY),FLORENCE,5,https://www.tripadvisor.com/Tourism-g187895-Florence_Tuscany-Vacations.html
SOUTHERN EUROPE,SP,COMUNIDAD DE MADRID,MADRID,6,https://www.tripadvisor.com/Tourism-g187514-Madrid-Vacations.html
SOUTHERN EUROPE,PO,,LISBON,7,https://www.tripadvisor.com/Tourism-g189158-Lisbon_Lisbon_District_Central_Portugal-Vacations.html
SOUTHERN EUROPE,IT,VENETO,VENICE,8,https://www.tripadvisor.com/Tourism-g187870-Venice_Veneto-Vacations.html
SOUTHERN EUROPE,GR,,ATHENS,9,https://www.tripadvisor.com/Tourism-g189400-Athens_Attica-Vacations.html
SOUTHERN EUROPE,SP,COMUNIDAD VALENCIANA,BENIDORM,10,https://www.tripadvisor.com/Tourism-g187525-Benidorm_Costa_Blanca_Province_of_Alicante_Valencian_Country-Vacations.html
CARIBBEAN,DR,LA ALTAGRACIA,PUNTA CANA,1,https://www.tripadvisor.com/Tourism-g147293-Punta_Cana_La_Altagracia_Province_Dominican_Republic-Vacations.html
CARIBBEAN,BF,BAHAMAS,NASSAU,2,https://www.tripadvisor.com/Tourism-g147416-Nassau_New_Providence_Island_Bahamas-Vacations.html
CARIBBEAN,JM,SAINT JAMES,MONTEGO BAY,3,https://www.tripadvisor.com/Tourism-g147311-Montego_Bay_Saint_James_Parish_Jamaica-Vacations.html
CARIBBEAN,AA,,PALM BEACH,4,https://www.tripadvisor.com/Tourism-g147249-Palm_Eagle_Beach_Aruba-Vacations.html
CARIBBEAN,JM,,HANOVER,5,https://www.tripadvisor.com/Tourism-g1448458-Hanover_Parish_Jamaica-Vacations.html
CARIBBEAN,BB,,BARBADOS,6,https://www.tripadvisor.com/Tourism-g147262-Barbados-Vacations.html
CARIBBEAN,ST,,SAINT LUCIA,7,https://www.tripadvisor.com/Tourism-g147342-St_Lucia-Vacations.html
CARIBBEAN,CJ,,GRAND CAYMAN,8,https://www.tripadvisor.com/Tourism-g147365-Grand_Cayman_Cayman_Islands-Vacations.html
CARIBBEAN,DR,PUERTO PLATA,PUERTO PLATA,9,https://www.tripadvisor.com/Tourism-g147290-Puerto_Plata_Puerto_Plata_Province_Dominican_Republic-Vacations.html
CARIBBEAN,TK,,PROVIDENCIALES,10,https://www.tripadvisor.com/Tourism-g147399-Providenciales_Turks_and_Caicos-Vacations.html
SOUTH EAST ASIA,RP,METRO MANILA,MANILA,1,https://www.tripadvisor.com/Tourism-g298573-Manila_Metro_Manila_Luzon-Vacations.html
SOUTH EAST ASIA,TH,KRUNG THEP MAHANAKHON,BANGKOK,2,https://www.tripadvisor.com/Tourism-g293916-Bangkok-Vacations.html
SOUTH EAST ASIA,SN,,SINGAPORE,3,https://www.tripadvisor.com/Tourism-g294265-Singapore-Vacations.html
SOUTH EAST ASIA,MY,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,4,https://www.tripadvisor.com/Tourism-g298570-Kuala_Lumpur_Wilayah_Persekutuan-Vacations.html
SOUTH EAST ASIA,TH,PHUKET,PHUKET,5,https://www.tripadvisor.com/Tourism-g293920-Phuket-Vacations.html
SOUTH EAST ASIA,TW,T'AI-PEI CHUEN-SHIH,TAIPEI,6,https://www.tripadvisor.com/Tourism-g293913-Taipei-Vacations.html
SOUTH EAST ASIA,HK,HONG KONG SAR,HONG KONG,7,https://www.tripadvisor.com/Tourism-g294217-Hong_Kong-Vacations.html
SOUTH EAST ASIA,VM,HO CHI MINH,HO CHI MINH CITY,8,https://www.tripadvisor.com/Tourism-g293925-Ho_Chi_Minh_City-Vacations.html
SOUTH EAST ASIA,RP,AKLAN,BORACAY,9,https://www.tripadvisor.com/Tourism-g294260-Boracay_Malay_Aklan_Province_Panay_Island_Visayas-Vacations.html
SOUTH EAST ASIA,TH,CHIANG MAI,CHIANG MAI,10,https://www.tripadvisor.com/Tourism-g293917-Chiang_Mai-Vacations.html
WESTERN EUROPE,FR,PARIS,PARIS,1,https://www.tripadvisor.com/Tourism-g187147-Paris_Ile_de_France-Vacations.html
WESTERN EUROPE,NL,NOORD-HOLLAND,AMSTERDAM,2,https://www.tripadvisor.com/Tourism-g188590-Amsterdam_North_Holland_Province-Vacations.html
WESTERN EUROPE,BE,BRUXELLES,BRUSSELS,3,https://www.tripadvisor.com/Tourism-g188644-Brussels-Vacations.html
WESTERN EUROPE,GM,BERLIN,BERLIN,4,https://www.tripadvisor.com/Tourism-g187323-Berlin-Vacations.html
WESTERN EUROPE,AU,WIEN,VIENNA,5,https://www.tripadvisor.com/Tourism-g190454-Vienna-Vacations.html
WESTERN EUROPE,DA,KOBENHAVN,COPENHAGEN,6,https://www.tripadvisor.com/Tourism-g189541-Copenhagen_Zealand-Vacations.html
WESTERN EUROPE,GM,BAYERN,MUNICH,7,https://www.tripadvisor.com/Tourism-g187309-Munich_Upper_Bavaria_Bavaria-Vacations.html
WESTERN EUROPE,FR,ALPES-MARITIMES,NICE,8,https://www.tripadvisor.com/Tourism-g187234-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur-Vacations.html
WESTERN EUROPE,BE,WEST-VLAANDEREN,BRUGES,9,https://www.tripadvisor.com/Tourism-g188671-Bruges_West_Flanders_Province-Vacations.html
WESTERN EUROPE,SZ,ZURICH,ZURICH,10,https://www.tripadvisor.com/Tourism-g188113-Zurich-Vacations.html
UNITED STATES,US,NEVADA,LAS VEGAS,1,https://www.tripadvisor.com/Tourism-g45963-Las_Vegas_Nevada-Vacations.html
UNITED STATES,US,NEW YORK,NEW YORK,2,https://www.tripadvisor.com/Tourism-g60763-New_York_City_New_York-Vacations.html
UNITED STATES,US,FLORIDA,ORLANDO,3,https://www.tripadvisor.com/Tourism-g34515-Orlando_Florida-Vacations.html
UNITED STATES,US,FLORIDA,MIAMI BEACH,4,https://www.tripadvisor.com/Tourism-g34439-Miami_Beach_Florida-Vacations.html
UNITED STATES,US,ILLINOIS,CHICAGO,5,https://www.tripadvisor.com/Tourism-g35805-Chicago_Illinois-Vacations.html
UNITED STATES,US,DISTRICT OF COLUMBIA,WASHINGTON,6,https://www.tripadvisor.com/Tourism-g28970-Washington_DC_District_of_Columbia-Vacations.html
UNITED STATES,US,FLORIDA,MIAMI,7,https://www.tripadvisor.com/Tourism-g34438-Miami_Florida-Vacations.html
UNITED STATES,US,FLORIDA,FORT LAUDERDALE,8,https://www.tripadvisor.com/Tourism-g34227-Fort_Lauderdale_Broward_County_Florida-Vacations.html
UNITED STATES,US,TEXAS,HOUSTON,9,https://www.tripadvisor.com/Tourism-g56003-Houston_Texas-Vacations.html
UNITED STATES,US,GEORGIA,ATLANTA,10,https://www.tripadvisor.com/Tourism-g60898-Atlanta_Georgia-Vacations.html
UNITED STATES,US,LOUISIANA,NEW ORLEANS,11,https://www.tripadvisor.com/Tourism-g60864-New_Orleans_Louisiana-Vacations.html
UNITED STATES,US,CALIFORNIA,LOS ANGELES,12,https://www.tripadvisor.com/Tourism-g32655-Los_Angeles_California-Vacations.html
UNITED STATES,US,FLORIDA,LAKE BUENA VISTA,13,https://www.tripadvisor.com/Tourism-g23869903-Lake_Buena_Vista_Florida-Vacations.html
UNITED STATES,US,CALIFORNIA,SAN DIEGO,14,https://www.tripadvisor.com/Tourism-g60750-San_Diego_California-Vacations.html
UNITED STATES,US,FLORIDA,KISSIMMEE,15,https://www.tripadvisor.com/Tourism-g34352-Kissimmee_Florida-Vacations.html
UNITED STATES,US,TENNESSEE,NASHVILLE,16,https://www.tripadvisor.com/Tourism-g55229-Nashville_Davidson_County_Tennessee-Vacations.html
UNITED STATES,US,HAWAII,HONOLULU,17,https://www.tripadvisor.com/Tourism-g60982-Honolulu_Oahu_Hawaii-Vacations.html
UNITED STATES,US,CALIFORNIA,SAN FRANCISCO,18,https://www.tripadvisor.com/Tourism-g60713-San_Francisco_California-Vacations.html
UNITED STATES,US,TEXAS,SAN ANTONIO,19,https://www.tripadvisor.com/Tourism-g60956-San_Antonio_Texas-Vacations.html
UNITED STATES,US,FLORIDA,TAMPA,20,https://www.tripadvisor.com/Tourism-g34678-Tampa_Florida-Vacations.html
UNITED STATES,US,SOUTH CAROLINA,MYRTLE BEACH,21,https://www.tripadvisor.com/Tourism-g54359-Myrtle_Beach_South_Carolina-Vacations.html
UNITED STATES,US,MASSACHUSETTS,BOSTON,22,https://www.tripadvisor.com/Tourism-g60745-Boston_Massachusetts-Vacations.html
UNITED STATES,US,TEXAS,DALLAS,23,https://www.tripadvisor.com/Tourism-g55711-Dallas_Texas-Vacations.html
UNITED STATES,US,TEXAS,AUSTIN,24,https://www.tripadvisor.com/Tourism-g30196-Austin_Texas-Vacations.html
UNITED STATES,US,WASHINGTON,SEATTLE,25,https://www.tripadvisor.com/Tourism-g60878-Seattle_Washington-Vacations.html
UNITED STATES,US,NEW JERSEY,ATLANTIC CITY,26,https://www.tripadvisor.com/Tourism-g29750-Atlantic_City_New_Jersey-Vacations.html
UNITED STATES,US,ARIZONA,PHOENIX,27,https://www.tripadvisor.com/Tourism-g31310-Phoenix_Arizona-Vacations.html
UNITED STATES,US,COLORADO,DENVER,28,https://www.tripadvisor.com/Tourism-g33388-Denver_Colorado-Vacations.html
