region_name,country_code,province_name,city_name,region_city_rank,,,
SOUTHERN EUROPE,IT,LAZIO,ROME,1,,,
SOUTHERN EUROPE,SP,CATALONIA,BARCELONA,2,,,
SOUTHERN EUROPE,TU,ISTANBUL,ISTANBUL,3,,,
SOUTHERN EUROPE,IT,LOMBARDIA,MILAN,4,,,
SOUTHERN EUROPE,IT,TOSCANA (TUSCANY),FLORENCE,5,,,
SOUTHERN EUROPE,SP,COMUNIDAD DE MADRID,MADRID,6,,,
SOUTHERN EUROPE,PO,,LISBON,7,,,
SOUTHERN EUROPE,IT,VENETO,VENICE,8,,,
SOUTHERN EUROPE,GR,,ATHENS,9,,,
SOUTHERN EUROPE,SP,COMUNIDAD VALENCIANA,BENIDORM,10,,,
CARIBBEAN,DR,LA ALTAGRACIA,PUNTA CANA,1,,,
CARIBBEAN,BF,BAHAMAS,NASSAU,2,,,
CARIBBEAN,JM,SAINT JAMES,MONTEGO BAY,3,,,
CARIBBEAN,AA,,PALM BEACH,4,,,
CARIBBEAN,JM,,HANOVER,5,,,
CARIBBEAN,BB,,BARBADOS,6,,,
CARIBBEAN,ST,,SAINT LUCIA,7,,,
CARIBBEAN,CJ,,GRAND CAYMAN,8,,,
CARIBBEAN,DR,PUERTO PLATA,PUERTO PLATA,9,,,
CARIBBEAN,TK,,PROVIDENCIALES,10,,,
SOUTH EAST ASIA,RP,METRO MANILA,MANILA,1,,,
SOUTH EAST ASIA,TH,KRUNG THEP MAHANAKHON,BANGKOK,2,,,
SOUTH EAST ASIA,SN,,SINGAPORE,3,,,
SOUTH EAST ASIA,MY,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,4,,,
SOUTH EAST ASIA,TH,PHUKET,PHUKET,5,,,
SOUTH EAST ASIA,TW,T'AI-PEI CHUEN-SHIH,TAIPEI,6,,,
SOUTH EAST ASIA,HK,HONG KONG SAR,HONG KONG,7,,,
SOUTH EAST ASIA,VM,HO CHI MINH,HO CHI MINH CITY,8,,,
SOUTH EAST ASIA,RP,AKLAN,BORACAY,9,,,
SOUTH EAST ASIA,TH,CHIANG MAI,CHIANG MAI,10,,,
WESTERN EUROPE,FR,PARIS,PARIS,1,,,
WESTERN EUROPE,NL,NOORD-HOLLAND,AMSTERDAM,2,,,
WESTERN EUROPE,BE,BRUXELLES,BRUSSELS,3,,,
WESTERN EUROPE,GM,BERLIN,BERLIN,4,,,
WESTERN EUROPE,AU,WIEN,VIENNA,5,,,
WESTERN EUROPE,DA,KOBENHAVN,COPENHAGEN,6,,,
WESTERN EUROPE,GM,BAYERN,MUNICH,7,,,
WESTERN EUROPE,FR,ALPES-MARITIMES,NICE,8,,,
WESTERN EUROPE,BE,WEST-VLAANDEREN,BRUGES,9,,,
WESTERN EUROPE,SZ,ZURICH,ZURICH,10,,,
UNITED STATES,US,NEVADA,LAS VEGAS,1,,,
UNITED STATES,US,NEW YORK,NEW YORK,2,,,
UNITED STATES,US,FLORIDA,ORLANDO,3,,,
UNITED STATES,US,FLORIDA,MIAMI BEACH,4,,,
UNITED STATES,US,ILLINOIS,CHICAGO,5,,,
UNITED STATES,US,DISTRICT OF COLUMBIA,WASHINGTON,6,,,
UNITED STATES,US,FLORIDA,MIAMI,7,,,
UNITED STATES,US,FLORIDA,FORT LAUDERDALE,8,,,
UNITED STATES,US,TEXAS,HOUSTON,9,,,
UNITED STATES,US,GEORGIA,ATLANTA,10,,,
UNITED STATES,US,LOUISIANA,NEW ORLEANS,11,,,
UNITED STATES,US,CALIFORNIA,LOS ANGELES,12,,,
UNITED STATES,US,FLORIDA,LAKE BUENA VISTA,13,,,
UNITED STATES,US,CALIFORNIA,SAN DIEGO,14,,,
UNITED STATES,US,FLORIDA,KISSIMMEE,15,,,
UNITED STATES,US,TENNESSEE,NASHVILLE,16,,,
UNITED STATES,US,HAWAII,HONOLULU,17,,,
UNITED STATES,US,CALIFORNIA,SAN FRANCISCO,18,,,
UNITED STATES,US,TEXAS,SAN ANTONIO,19,,,
UNITED STATES,US,FLORIDA,TAMPA,20,,,
UNITED STATES,US,SOUTH CAROLINA,MYRTLE BEACH,21,,,
UNITED STATES,US,MASSACHUSETTS,BOSTON,22,,,
UNITED STATES,US,TEXAS,DALLAS,23,,,
UNITED STATES,US,TEXAS,AUSTIN,24,,,
UNITED STATES,US,WASHINGTON,SEATTLE,25,,,
UNITED STATES,US,NEW JERSEY,ATLANTIC CITY,26,,,
UNITED STATES,US,ARIZONA,PHOENIX,27,,,
UNITED STATES,US,COLORADO,DENVER,28,,,
UNITED STATES,US,PENNSYLVANIA,PHILADELPHIA,29,,,
UNITED STATES,US,NORTH CAROLINA,CHARLOTTE,30,,,
UNITED STATES,US,INDIANA,INDIANAPOLIS,31,,,
UNITED STATES,US,FLORIDA,KEY WEST,32,,,
UNITED STATES,US,NEW YORK,BROOKLYN,33,,,
UNITED STATES,US,CALIFORNIA,ANAHEIM,34,,,
UNITED STATES,US,VIRGINIA,VIRGINIA BEACH,35,,,
UNITED STATES,US,GEORGIA,SAVANNAH,36,,,
UNITED STATES,US,ARIZONA,SCOTTSDALE,37,,,
UNITED STATES,US,TENNESSEE,PIGEON FORGE,38,,,
UNITED STATES,US,OHIO,COLUMBUS,39,,,
UNITED STATES,US,OREGON,PORTLAND,40,,,
UNITED STATES,US,PUERTO RICO,SAN JUAN,41,,,
UNITED STATES,US,TENNESSEE,GATLINBURG,42,,,
UNITED STATES,US,FLORIDA,JACKSONVILLE,43,,,
UNITED STATES,US,FLORIDA,SAINT PETERSBURG,44,,,
UNITED STATES,US,SOUTH CAROLINA,CHARLESTON,45,,,
UNITED STATES,US,MISSOURI,SAINT LOUIS,46,,,
UNITED STATES,US,MISSOURI,KANSAS CITY,47,,,
UNITED STATES,US,FLORIDA,CLEARWATER BEACH,48,,,
UNITED STATES,US,PENNSYLVANIA,PITTSBURGH,49,,,
UNITED STATES,US,FLORIDA,SARASOTA,50,,,
UNITED STATES,US,KENTUCKY,LOUISVILLE,51,,,
UNITED STATES,US,FLORIDA,DAYTONA BEACH,52,,,
UNITED STATES,US,ARIZONA,TUCSON,53,,,
UNITED STATES,US,FLORIDA,HOLLYWOOD,54,,,
UNITED STATES,US,NORTH CAROLINA,ASHEVILLE,55,,,
UNITED STATES,US,FLORIDA,ST. AUGUSTINE,56,,,
UNITED STATES,US,TENNESSEE,MEMPHIS,57,,,
UNITED STATES,US,ARIZONA,SEDONA,58,,,
UNITED STATES,US,MINNESOTA,BLOOMINGTON,59,,,
UNITED STATES,US,UTAH,SALT LAKE CITY,60,,,
UNITED STATES,US,NEVADA,RENO,61,,,
UNITED STATES,US,CONNECTICUT,UNCASVILLE,62,,,
UNITED STATES,US,TEXAS,FORT WORTH,63,,,
UNITED STATES,US,OKLAHOMA,OKLAHOMA CITY,64,,,
UNITED STATES,US,MARYLAND,OCEAN CITY,65,,,
UNITED STATES,US,TEXAS,GALVESTON,66,,,
UNITED STATES,US,HAWAII,LAHAINA,67,,,
UNITED STATES,US,MARYLAND,BALTIMORE,68,,,
UNITED STATES,US,MINNESOTA,MINNEAPOLIS,69,,,
UNITED STATES,US,NORTH CAROLINA,RALEIGH,70,,,
UNITED STATES,US,MICHIGAN,DETROIT,71,,,
UNITED STATES,US,NEW MEXICO,ALBUQUERQUE,72,,,
UNITED STATES,US,VIRGINIA,ARLINGTON,73,,,
UNITED STATES,US,FLORIDA,WEST PALM BEACH,74,,,
UNITED STATES,US,HAWAII,KAPOLEI,75,,,
