region_name,country_code,province_name,city_name,region_city_rank,Unnamed: 5,Unnamed: 6,Unnamed: 7,latitude,longitude
SOUTHERN EUROPE,IT,LAZIO,ROME,1,,,,41.8933203,12.4829321
SOUTHERN EUROPE,SP,CATALONIA,BARCELONA,2,,,,41.3828939,2.1774322
SOUTHERN EUROPE,TU,ISTANBUL,ISTANBUL,3,,,,41.0091982,28.9662187
SOUTHERN EUROPE,IT,LOMBARDIA,MILAN,4,,,,45.4641943,9.1896346
SOUTHERN EUROPE,IT,TOSCANA (TUSCANY),FLORENCE,5,,,,43.7698712,11.2555757
SOUTHERN EUROPE,SP,COMUNIDAD DE MADRID,MADRID,6,,,,40.4167047,-3.7035825
SOUTHERN EUROPE,PO,,LISBON,7,,,,38.7077507,-9.1365919
SOUTHERN EUROPE,IT,VENETO,VENICE,8,,,,45.4371908,12.3345898
SOUTHERN EUROPE,GR,,ATHENS,9,,,,37.9839412,23.7283052
SOUTHERN EUROPE,SP,COMUNIDAD VALENCIANA,BENIDORM,10,,,,38.5406255,-0.1290929
CARIBBEAN,DR,LA ALTAGRACIA,PUNTA CANA,1,,,,18.556551,-68.3691611
CARIBBEAN,BF,BAHAMAS,NASSAU,2,,,,25.0782266,-77.3383438
CARIBBEAN,JM,SAINT JAMES,MONTEGO BAY,3,,,,18.4724603,-77.9217357
CARIBBEAN,AA,,PALM BEACH,4,,,,12.57044115,-70.03941029417669
CARIBBEAN,JM,,HANOVER,5,,,,18.3850653,-78.13099300627783
CARIBBEAN,BB,,BARBADOS,6,,,,13.1500331,-59.5250305
CARIBBEAN,ST,,SAINT LUCIA,7,,,,13.8250489,-60.975036
CARIBBEAN,CJ,,GRAND CAYMAN,8,,,,19.3298691,-81.17122907994889
CARIBBEAN,DR,PUERTO PLATA,PUERTO PLATA,9,,,,19.7444333,-70.8000756
CARIBBEAN,TK,,PROVIDENCIALES,10,,,,21.8020614,-72.30044556984475
SOUTH EAST ASIA,RP,METRO MANILA,MANILA,1,,,,14.5948914,120.9782618
SOUTH EAST ASIA,TH,KRUNG THEP MAHANAKHON,BANGKOK,2,,,,13.7524938,100.4935089
SOUTH EAST ASIA,SN,,SINGAPORE,3,,,,1.357107,103.8194992
SOUTH EAST ASIA,MY,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,4,,,,3.1516964,101.6942371
SOUTH EAST ASIA,TH,PHUKET,PHUKET,5,,,,7.9366015,98.3529292
SOUTH EAST ASIA,TW,T'AI-PEI CHUEN-SHIH,TAIPEI,6,,,,25.0375198,121.5636796
SOUTH EAST ASIA,HK,HONG KONG SAR,HONG KONG,7,,,,22.2793278,114.1628131
SOUTH EAST ASIA,VM,HO CHI MINH,HO CHI MINH CITY,8,,,,10.7764772,106.701938
SOUTH EAST ASIA,RP,AKLAN,BORACAY,9,,,,11.9477338,121.9392632
SOUTH EAST ASIA,TH,CHIANG MAI,CHIANG MAI,10,,,,18.7882778,98.9858802
WESTERN EUROPE,FR,PARIS,PARIS,1,,,,48.8588897,2.3200410217200766
WESTERN EUROPE,NL,NOORD-HOLLAND,AMSTERDAM,2,,,,52.3730796,4.8924534
WESTERN EUROPE,BE,BRUXELLES,BRUSSELS,3,,,,50.8465573,4.351697
WESTERN EUROPE,GM,BERLIN,BERLIN,4,,,,52.5170365,13.3888599
WESTERN EUROPE,AU,WIEN,VIENNA,5,,,,48.2083537,16.3725042
WESTERN EUROPE,DA,KOBENHAVN,COPENHAGEN,6,,,,55.6867243,12.5700724
WESTERN EUROPE,GM,BAYERN,MUNICH,7,,,,48.1371079,11.5753822
WESTERN EUROPE,FR,ALPES-MARITIMES,NICE,8,,,,43.7009358,7.2683912
WESTERN EUROPE,BE,WEST-VLAANDEREN,BRUGES,9,,,,51.2085526,3.226772
WESTERN EUROPE,SZ,ZURICH,ZURICH,10,,,,47.3744489,8.5410422
UNITED STATES,US,NEVADA,LAS VEGAS,1,,,,36.1672559,-115.148516
UNITED STATES,US,NEW YORK,NEW YORK,2,,,,40.7127281,-74.0060152
UNITED STATES,US,FLORIDA,ORLANDO,3,,,,28.5421109,-81.3790304
UNITED STATES,US,FLORIDA,MIAMI BEACH,4,,,,25.7929198,-80.1353006
UNITED STATES,US,ILLINOIS,CHICAGO,5,,,,41.8755616,-87.6244212
UNITED STATES,US,DISTRICT OF COLUMBIA,WASHINGTON,6,,,,38.8950368,-77.0365427
UNITED STATES,US,FLORIDA,MIAMI,7,,,,25.7741728,-80.19362
UNITED STATES,US,FLORIDA,FORT LAUDERDALE,8,,,,26.1223084,-80.1433786
UNITED STATES,US,TEXAS,HOUSTON,9,,,,29.7589382,-95.3676974
UNITED STATES,US,GEORGIA,ATLANTA,10,,,,33.7489924,-84.3902644
UNITED STATES,US,LOUISIANA,NEW ORLEANS,11,,,,29.9759983,-90.0782127
UNITED STATES,US,CALIFORNIA,LOS ANGELES,12,,,,34.0536909,-118.242766
UNITED STATES,US,FLORIDA,LAKE BUENA VISTA,13,,,,28.38034955,-81.5297578369267
UNITED STATES,US,CALIFORNIA,SAN DIEGO,14,,,,32.7174202,-117.1627728
UNITED STATES,US,FLORIDA,KISSIMMEE,15,,,,28.2918995,-81.4075838
UNITED STATES,US,TENNESSEE,NASHVILLE,16,,,,36.1622767,-86.7742984
UNITED STATES,US,HAWAII,HONOLULU,17,,,,21.304547,-157.855676
UNITED STATES,US,CALIFORNIA,SAN FRANCISCO,18,,,,37.7790262,-122.419906
UNITED STATES,US,TEXAS,SAN ANTONIO,19,,,,29.4246002,-98.4951405
UNITED STATES,US,FLORIDA,TAMPA,20,,,,27.9477595,-82.458444
UNITED STATES,US,SOUTH CAROLINA,MYRTLE BEACH,21,,,,33.6956461,-78.8900409
UNITED STATES,US,MASSACHUSETTS,BOSTON,22,,,,42.3554334,-71.060511
UNITED STATES,US,TEXAS,DALLAS,23,,,,32.7762719,-96.7968559
UNITED STATES,US,TEXAS,AUSTIN,24,,,,30.2711286,-97.7436995
UNITED STATES,US,WASHINGTON,SEATTLE,25,,,,47.6038321,-122.330062
UNITED STATES,US,NEW JERSEY,ATLANTIC CITY,26,,,,39.3642852,-74.4229351
UNITED STATES,US,ARIZONA,PHOENIX,27,,,,33.4484367,-112.074141
UNITED STATES,US,COLORADO,DENVER,28,,,,39.7392364,-104.984862
UNITED STATES,US,PENNSYLVANIA,PHILADELPHIA,29,,,,39.9527237,-75.1635262
UNITED STATES,US,NORTH CAROLINA,CHARLOTTE,30,,,,35.2272086,-80.8430827
UNITED STATES,US,INDIANA,INDIANAPOLIS,31,,,,39.7683331,-86.1583502
UNITED STATES,US,FLORIDA,KEY WEST,32,,,,24.5625566,-81.7724368
UNITED STATES,US,NEW YORK,BROOKLYN,33,,,,40.6526006,-73.9497211
