,Unnamed: 0,region_name,country_code,province_name,city_name,region_city_rank,attractions_url,30_attractions_char
0,0,SOUTHERN EUROPE,IT,LAZIO,ROME,1,https://www.tripadvisor.com/Attractions-g187791-Activities-oa0-Rome_Lazio.html,"['Historic Sites • Ancient Ruins', 'Ancient Ruins • Architectural Buildings', 'Points of Interest & Landmarks • Fountains', 'Points of Interest & Landmarks • Historic Walking Areas', 'Historic Sites • Points of Interest & Landmarks', 'Art Museums', 'Historic Sites • Ancient Ruins', 'Neighborhoods', 'Historic Sites • Points of Interest & Landmarks', 'Observation Decks & Towers • Art Museums', 'Monuments & Statues', 'Historic Sites • Points of Interest & Landmarks', 'Churches & Cathedrals', 'Religious Sites • Churches & Cathedrals', 'Points of Interest & Landmarks • Historic Walking Areas', 'Churches & Cathedrals', 'Speciality Museums • Art Museums', 'Points of Interest & Landmarks', 'Churches & Cathedrals', 'Fountains', 'Churches & Cathedrals', 'Art Museums • History Museums', 'Churches & Cathedrals', 'Architectural Buildings • Art Museums', 'Churches & Cathedrals', 'Art Museums • History Museums', 'Points of Interest & Landmarks • Historic Walking Areas', 'Ancient Ruins • Cemeteries', 'Historic Sites • Ancient Ruins', 'Churches & Cathedrals']"
1,1,SOUTHERN EUROPE,SP,CATALONIA,BARCELONA,2,https://www.tripadvisor.com/Attractions-g187497-Activities-oa0-Barcelona_Catalonia.html,"['Points of Interest & Landmarks • Architectural Buildings', 'Points of Interest & Landmarks • Architectural Buildings', 'Neighborhoods • Historic Walking Areas', 'Architectural Buildings • Theaters', 'Parks', 'Farmers Markets', 'Points of Interest & Landmarks • Fountains', 'Points of Interest & Landmarks • Architectural Buildings', 'Arenas & Stadiums', 'Historic Sites • Architectural Buildings', 'Points of Interest & Landmarks • Scenic Walking Areas', 'Points of Interest & Landmarks • Architectural Buildings', 'Speciality Museums', 'Speciality Museums • Science Museums', 'Parks', 'Churches & Cathedrals', 'Architectural Buildings • Monuments & Statues', 'Speciality Museums', 'Architectural Buildings', 'Speciality Museums • Parks', 'Neighborhoods • Points of Interest & Landmarks', 'Art Museums', 'Neighborhoods', 'Points of Interest & Landmarks', 'Historic Sites • Neighborhoods', 'Speciality Museums • Architectural Buildings', 'Points of Interest & Landmarks', 'Churches & Cathedrals', 'Points of Interest & Landmarks', 'History Museums']"
2,2,SOUTHERN EUROPE,TU,ISTANBUL,ISTANBUL,3,https://www.tripadvisor.com/Attractions-g293974-Activities-oa0-Istanbul.html,"['Historic Sites • Architectural Buildings', 'Historic Sites • Ancient Ruins', 'Neighborhoods • Historic Walking Areas', 'Religious Sites', 'History Museums', 'Architectural Buildings', 'Religious Sites', 'Bodies of Water', 'Historic Sites', 'Historic Sites • History Museums', 'Speciality Museums', 'Historic Sites • Architectural Buildings', 'Parks', 'History Museums', 'Points of Interest & Landmarks', 'Flea & Street Markets', 'Architectural Buildings • Religious Sites', 'Points of Interest & Landmarks • Architectural Buildings', 'Neighborhoods', 'Points of Interest & Landmarks', 'Parks', 'Religious Sites', 'Bridges', 'Neighborhoods', 'Architectural Buildings • Religious Sites', 'Neighborhoods', 'Art Museums • History Museums', 'Bridges', 'Shopping Malls', 'Speciality Museums']"
3,3,SOUTHERN EUROPE,IT,LOMBARDIA,MILAN,4,https://www.tripadvisor.com/Attractions-g187849-Activities-oa0-Milan_Lombardy.html,"['Religious Sites • Churches & Cathedrals', 'Points of Interest & Landmarks • Architectural Buildings', 'Historic Sites • Religious Sites', 'Historic Sites • Castles', 'Points of Interest & Landmarks • Historic Walking Areas', 'Churches & Cathedrals', 'Art Museums', 'Points of Interest & Landmarks • Lookouts', 'Theaters', 'Cemeteries', 'Points of Interest & Landmarks • Historic Walking Areas', 'Historic Sites • Architectural Buildings', 'History Museums • Churches & Cathedrals', 'Neighborhoods', 'Arenas & Stadiums', 'History Museums', 'Churches & Cathedrals', 'Parks', 'Libraries • Art Museums', 'Points of Interest & Landmarks', 'Speciality Museums • Science Museums', 'Speciality Museums', 'Art Museums', 'Historic Sites • Architectural Buildings', 'Speciality Museums', 'Points of Interest & Landmarks', 'Art Museums • History Museums', 'Art Museums', 'Historic Sites • Churches & Cathedrals', 'Speciality Museums • Architectural Buildings']"
4,4,SOUTHERN EUROPE,IT,TOSCANA (TUSCANY),FLORENCE,5,https://www.tripadvisor.com/Attractions-g187895-Activities-oa0-Florence_Tuscany.html,"['Points of Interest & Landmarks', 'Art Museums', 'Historic Walking Areas', 'Historic Sites • Religious Sites', 'Art Museums', 'Points of Interest & Landmarks • Historic Walking Areas', 'Historic Sites • Churches & Cathedrals', 'Points of Interest & Landmarks • Flea & Street Markets', 'Bridges', 'Historic Sites • Points of Interest & Landmarks', 'Architectural Buildings • Observation Decks & Towers', 'Points of Interest & Landmarks', 'Historic Sites • Architectural Buildings', 'Historic Walking Areas', 'Art Museums • History Museums', 'Speciality Museums • Art Museums', 'Architectural Buildings • Churches & Cathedrals', 'Historic Sites • Art Museums', 'Speciality Museums', 'Historic Sites • Architectural Buildings', 'Points of Interest & Landmarks • Architectural Buildings', 'Historic Sites • Points of Interest & Landmarks', 'Science Museums • History Museums', 'Speciality Museums', 'Visitor Centers', 'Art Museums', 'Religious Sites • Art Museums', 'Military Museums • Art Museums', 'Monuments & Statues', 'Speciality Museums']"
5,5,SOUTHERN EUROPE,SP,COMUNIDAD DE MADRID,MADRID,6,https://www.tripadvisor.com/Attractions-g187514-Activities-oa0-Madrid.html,"['Parks', 'Art Museums', 'Historic Sites • Architectural Buildings', 'Speciality Museums', 'Points of Interest & Landmarks', 'Historic Sites • Points of Interest & Landmarks', 'Art Museums', 'Arenas & Stadiums', 'Art Museums', 'Flea & Street Markets', 'Art Museums • History Museums', 'Ancient Ruins • Architectural Buildings', 'Monuments & Statues', 'Historic Sites • Architectural Buildings', 'Points of Interest & Landmarks', 'Religious Sites • Churches & Cathedrals', 'Architectural Buildings', 'Points of Interest & Landmarks', 'Points of Interest & Landmarks • Architectural Buildings', 'Speciality Museums • History Museums', 'Neighborhoods • Historic Walking Areas', 'Neighborhoods', 'Historic Sites • Points of Interest & Landmarks', 'Parks • Gardens', 'Churches & Cathedrals', 'Points of Interest & Landmarks • Parks', 'Points of Interest & Landmarks • Monuments & Statues', 'Theaters', 'Art Galleries • Speciality Museums', 'Architectural Buildings']"
6,6,SOUTHERN EUROPE,PO,,LISBON,7,https://www.tripadvisor.com/Attractions-g189158-Activities-oa0-Lisbon_Lisbon_District_Central_Portugal.html,"['Aquariums', 'Neighborhoods', 'Historic Sites • Architectural Buildings', 'Points of Interest & Landmarks', 'Neighborhoods', 'Points of Interest & Landmarks', 'Historic Sites • Castles', 'Art Galleries • Art Museums', 'Speciality Museums • Art Museums', 'Lookouts', 'Neighborhoods', 'Monuments & Statues', 'Speciality Museums • Art Museums', 'Trams', 'Monuments & Statues', 'Architectural Buildings • Religious Sites', 'Bridges', 'Points of Interest & Landmarks', 'Arenas & Stadiums', 'Bridges', 'History Museums', 'Zoos', 'Neighborhoods • Points of Interest & Landmarks', 'Gardens', 'Lookouts', 'Castles', 'Observatories & Planetariums', 'Shopping Malls', 'Parks • Playgrounds', 'Speciality Museums']"
7,7,SOUTHERN EUROPE,IT,VENETO,VENICE,8,https://www.tripadvisor.com/Attractions-g187870-Activities-oa0-Venice_Veneto.html,"['Bodies of Water', 'Speciality Museums • Historic Sites', 'Points of Interest & Landmarks • Architectural Buildings', 'Points of Interest & Landmarks • Historic Walking Areas', 'Historic Sites • Points of Interest & Landmarks', 'Bridges', 'Historic Sites • Architectural Buildings', 'Churches & Cathedrals', 'Historic Sites • Points of Interest & Landmarks', 'Theaters', 'Neighborhoods', 'Points of Interest & Landmarks • Religious Sites', 'Neighborhoods • Points of Interest & Landmarks', 'Historic Sites • Bridges', 'Shopping Malls', 'Churches & Cathedrals', 'Theaters', 'Bodies of Water', 'Points of Interest & Landmarks • Architectural Buildings', 'Historic Walking Areas', 'Architectural Buildings • Art Museums', 'Libraries', 'Flea & Street Markets', 'Antique Shops', 'Art Museums', 'Historic Sites • Points of Interest & Landmarks', 'Religious Sites • Churches & Cathedrals', 'Historic Sites • Points of Interest & Landmarks', 'Neighborhoods • Historic Walking Areas', 'Bridges']"
8,8,SOUTHERN EUROPE,GR,,ATHENS,9,https://www.tripadvisor.com/Attractions-g189400-Activities-oa0-Athens_Attica.html,"['Historic Sites • Ancient Ruins', 'History Museums', 'Historic Sites • Ancient Ruins', 'Neighborhoods', 'Art Museums • History Museums', 'Ancient Ruins • Religious Sites', 'Mountains • Lookouts', 'Arenas & Stadiums', 'Historic Sites • Ancient Ruins', 'Historic Sites • Theaters', 'Ancient Ruins • Points of Interest & Landmarks', 'Points of Interest & Landmarks • Historic Walking Areas', 'Neighborhoods', 'Neighborhoods', 'Speciality Museums', 'Art Museums', 'Art Museums', 'Ancient Ruins • Monuments & Statues', 'Gardens', 'Points of Interest & Landmarks', 'History Museums', 'Ancient Ruins • Monuments & Statues', 'Points of Interest & Landmarks', 'Ancient Ruins', 'Historic Sites • Geologic Formations', 'Speciality Museums', 'Speciality Museums • History Museums', 'Churches & Cathedrals', 'Art Museums', ""Speciality Museums • Children's Museums""]"
9,9,SOUTHERN EUROPE,SP,COMUNIDAD VALENCIANA,BENIDORM,10,https://www.tripadvisor.com/Attractions-g187525-Activities-oa0-Benidorm_Costa_Blanca_Province_of_Alicante_Valencian_Country.html,"['Aquariums', 'Neighborhoods', 'Beaches', 'Neighborhoods', 'Beaches', 'Points of Interest & Landmarks', 'Zoos', 'Points of Interest & Landmarks • Historic Walking Areas', 'Lookouts • Observation Decks & Towers', 'Water Parks', 'Amusement & Theme Parks', 'Churches & Cathedrals', 'Islands', 'Beaches', 'Parks', 'Water Parks', 'Parks', 'Flea & Street Markets', 'Cabarets', 'Antique Shops', 'Beaches', 'Beaches', 'Flea & Street Markets', 'Flea & Street Markets • Farmers Markets', 'Lookouts', 'Amusement & Theme Parks', 'Points of Interest & Landmarks • Architectural Buildings', ""Speciality Museums • Children's Museums"", 'Bars & Clubs • Cabarets', 'Geologic Formations']"
